slug,url,name,description,duration_hours,total_courses,total_projects,total_assessments,total_participants,courses,projects,instructors
associate-data-scientist-in-python,https://app.datacamp.com/learn/career-tracks/associate-data-scientist-in-python,,,,,,,,,,
associate-data-analyst-in-sql,https://app.datacamp.com/learn/career-tracks/associate-data-analyst-in-sql,Analis Data Asisten dalam SQL,,,,,,,,,
data-analyst-in-power-bi,https://app.datacamp.com/learn/career-tracks/data-analyst-in-power-bi,Analis Data di Power BI,,,,,,,,,
data-analyst-with-python,https://app.datacamp.com/learn/career-tracks/data-analyst-with-python,Analis Data dalam Python,,,,,,,,,
associate-data-engineer-in-sql,https://app.datacamp.com/learn/career-tracks/associate-data-engineer-in-sql,Associate Data Engineer dalam SQL,,,,,,,,,
data-engineer-in-python,https://app.datacamp.com/learn/career-tracks/data-engineer-in-python,Data Engineer dalam Python,,,,,,,,,
associate-ai-engineer-for-data-scientists,https://app.datacamp.com/learn/career-tracks/associate-ai-engineer-for-data-scientists,Insinyur AI Asisten untuk Ilmuwan Data,,,,,,,,,
associate-data-scientist-in-r,https://app.datacamp.com/learn/career-tracks/associate-data-scientist-in-r,Associate Data Scientist di R,,,,,,,,,
data-scientist-in-python,https://app.datacamp.com/learn/career-tracks/data-scientist-in-python,Ilmuwan Data dalam Python,,,,,,,,,
data-analyst-with-r,https://app.datacamp.com/learn/career-tracks/data-analyst-with-r,Analis Data di R,,,,,,,,,
data-analyst-in-tableau,https://app.datacamp.com/learn/career-tracks/data-analyst-in-tableau,Analis Data di Tableau,,,,,,,,,
microsoft-azure-developer-associate-az-204,https://app.datacamp.com/learn/career-tracks/microsoft-azure-developer-associate-az-204,Microsoft Azure Developer Associate (AZ-204),,,,,,,,,
data-scientist-in-r,https://app.datacamp.com/learn/career-tracks/data-scientist-in-r,Ilmuwan Data di R,,,,,,,,,
associate-ai-engineer-for-developers,https://app.datacamp.com/learn/career-tracks/associate-ai-engineer-for-developers,Insinyur Kecerdasan Buatan (AI) untuk Pengembang,,,,,,,,,
associate-python-developer,https://app.datacamp.com/learn/career-tracks/associate-python-developer,Pengembang Python Tingkat Menengah,,,,,,,,,
machine-learning-scientist-with-python,https://app.datacamp.com/learn/career-tracks/machine-learning-scientist-with-python,,,,,,,,,,
machine-learning-engineer,https://app.datacamp.com/learn/career-tracks/machine-learning-engineer,Insinyur Pembelajaran Mesin,,,,,,,,,
python-programmer,https://app.datacamp.com/learn/career-tracks/python-programmer,Pengembang Python,,,,,,,,,
data-analyst-in-databricks,https://app.datacamp.com/learn/career-tracks/data-analyst-in-databricks,Analis Data di Databricks,,,,,,,,,
professional-data-engineer,https://app.datacamp.com/learn/career-tracks/professional-data-engineer,Insinyur Data Profesional dalam Python,,,,,,,,,
associate-data-engineer-in-snowflake,https://app.datacamp.com/learn/career-tracks/associate-data-engineer-in-snowflake,Associate Data Engineer di Snowflake,,,,,,,,,
java-developer,https://app.datacamp.com/learn/career-tracks/java-developer,Pengembang Java,,,,,,,,,
statistician-with-r,https://app.datacamp.com/learn/career-tracks/statistician-with-r,Ahli Statistik di R,,,,,,,,,
associate-data-engineer-in-databricks,https://app.datacamp.com/learn/career-tracks/associate-data-engineer-in-databricks,Associate Data Engineer in Databricks,,,,,,,,,
sql-server-developer,https://app.datacamp.com/learn/career-tracks/sql-server-developer,Pengembang SQL Server,,,,,,,,,
data-engineer-in-java,https://app.datacamp.com/learn/career-tracks/data-engineer-in-java,Data Engineer di Java,,,,,,,,,
google-associate-cloud-engineer,https://app.datacamp.com/learn/career-tracks/google-associate-cloud-engineer,Google Associate Cloud Engineer,,,,,,,,,
r-programmer,https://app.datacamp.com/learn/career-tracks/r-programmer,,,,,,,,,,
quantitative-analyst-with-r,https://app.datacamp.com/learn/career-tracks/quantitative-analyst-with-r,Analis Kuantitatif di R,,,,,,,,,
machine-learning-scientist-with-r,https://app.datacamp.com/learn/career-tracks/machine-learning-scientist-with-r,Ilmuwan Pembelajaran Mesin di R,,,,,,,,,
