type,slug,url,name,description,technology,duration_hours,total_courses,total_projects,total_assessments,total_participants,courses,projects
skill,python-data-fundamentals,https://app.datacamp.com/learn/skill-tracks/python-data-fundamentals,Dasar-Dasar Data Python,"Kembangkan keterampilan data Anda, pelajari cara mengolah dan memvisualisasikan data, serta terapkan analisis canggih untuk mengambil keputusan berbasis data.",Python,28,7,2,,470354,Pengantar Python | Python Tingkat Menengah | Menyelidiki Film Netflix | Manipulasi Data dengan pandas | Menggabungkan Data dengan pandas | Pengantar Visualisasi Data dengan Seaborn | Pengantar Statistika di Python | Analisis Data Eksploratif di Python | Menganalisis Kejahatan di Los Angeles,
skill,ai-fundamentals,https://app.datacamp.com/learn/skill-tracks/ai-fundamentals,Dasar-Dasar Kecerdasan Buatan,"Pelajari dasar-dasar kecerdasan buatan (AI), pelajari cara memanfaatkan AI secara efektif untuk pekerjaan, dan jelajahi model seperti ChatGPT untuk memahami lanskap AI yang dinamis.",,10,6,,1,87378,Pengantar AI untuk Pekerjaan | Memahami ChatGPT | Memahami Machine Learning | Konsep Large Language Models (LLM) | Konsep Generative AI | Etika Kecerdasan Buatan | Dasar-dasar AI,
skill,sql-fundamentals,https://app.datacamp.com/learn/skill-tracks/sql-fundamentals,Dasar-Dasar SQL,"Kuasai dasar-dasar SQL yang diperlukan untuk bisnis, pelajari cara menulis kueri SQL, dan mulailah menganalisis data Anda menggunakan bahasa yang kuat ini.",SQL,26,7,2,1,663961,Pengantar SQL | Intermediate SQL | Menganalisis Kesehatan Mental Mahasiswa | Menggabungkan Data di SQL | Manipulasi Data di SQL | Ringkasan Statistik dan Window Functions di PostgreSQL | Fungsi untuk Memanipulasi Data di PostgreSQL | Perancangan Basis Data | Analisis Dampak Inisiatif LSM GoodThought | Analisis Data dalam SQL (PostgreSQL),
skill,ai-engineering-with-langchain,https://app.datacamp.com/learn/skill-tracks/ai-engineering-with-langchain,Rekayasa Kecerdasan Buatan dengan LangChain,"Dari rekayasa prompt hingga sistem agen—kembangkan keterampilan lengkap untuk membangun aplikasi AI yang dapat diskalakan, dengan tutor AI yang mendampingi Anda.",Python,21,6,,,7594,Persyaratan Pendahuluan Track | LLM Application Fundamentals with LangChain | LLM Application Evaluation with LangSmith | Prompt Engineering with LangChain | Retrieval-Augmented Generation with LangChain | LLM Tool Use with LangChain | Agentic Systems with LangGraph,
skill,data-literacy-professional,https://app.datacamp.com/learn/skill-tracks/data-literacy-professional,Ahli Literasi Data,Dari pemahaman hingga narasi data - dapatkan keterampilan literasi data yang berharga untuk mengatasi tantangan data yang paling sulit.,,15,8,,,75347,Pengantar Data | Mengomunikasikan Wawasan Data | Pengantar Literasi Data | Pengantar Statistika | Pengantar Budaya Data | Merumuskan Pertanyaan Analitis | Konsep Menyajikan Data Dengan Bercerita | Studi Kasus Literasi Data: Analisis Kerja Jarak Jauh,
skill,github-foundations,https://app.datacamp.com/learn/skill-tracks/github-foundations,GitHub Foundations,"Siapkan diri Anda untuk Sertifikasi GitHub Foundations dengan mempelajari dasar-dasar Git dan GitHub: pengendalian versi, kolaborasi, dan cabang.",,10,4,,,41933,Pengantar Git | Git Tingkat Menengah | Pendahuluan Konsep GitHub | Introduction to GitHub Products: A Complete Guide | Intermediate GitHub Concepts | Introduction to GitHub Codespaces,
skill,microsoft-azure-fundamentals-az-900,https://app.datacamp.com/learn/skill-tracks/microsoft-azure-fundamentals-az-900,Microsoft Azure Fundamentals (AZ-900),"Persiapkan diri Anda untuk sertifikasi Microsoft Azure Fundamentals (AZ-900) dengan mempelajari dasar-dasar Azure: komputasi, penyimpanan, dan jaringan.",,9,4,,1,48839,Memahami Cloud Computing | Memahami Microsoft Azure | Memahami Arsitektur dan Layanan Microsoft Azure | Understanding Microsoft Azure Management and Governance | Dasar-Dasar Azure,
skill,aws-cloud-practitioner-clf-c02,https://app.datacamp.com/learn/skill-tracks/aws-cloud-practitioner-clf-c02,AWS Cloud Practitioner (CLF-C02),"Persiapkan diri Anda untuk ujian AWS Certified Cloud Practitioner (CLF-C02) dari Amazon dengan mempelajari cara menggunakan dan mengamankan layanan komputasi, basis data, dan penyimpanan inti AWS.",,10,4,,1,22883,Memahami Cloud Computing | Konsep AWS | Konsep Teknologi dan Layanan Cloud AWS | Konsep Keamanan dan Manajemen Biaya AWS | Praktisi Cloud AWS,
skill,alteryx-fundamentals,https://app.datacamp.com/learn/skill-tracks/alteryx-fundamentals,Dasar-Dasar Alteryx,Peroleh keterampilan yang diperlukan untuk menguasai Alteryx Designer agar dapat lulus ujian sertifikasi Alteryx Core. Tidak diperlukan pengalaman sebelumnya.,,12,5,,,16807,Pengantar Alteryx | Persiapan Data di Alteryx | Transformasi Data di Alteryx | Manipulasi Data di Alteryx | Studi Kasus: Menganalisis Data Penjualan di Alteryx,
skill,knime-fundamentals,https://app.datacamp.com/learn/skill-tracks/knime-fundamentals,KNIME Fundamentals,"Pelajari Platform Analitik KNIME dan persiapkan diri untuk sertifikasi L1. Peroleh keterampilan dalam persiapan data, transformasi, dan visualisasi untuk membangun alur kerja.",,17,5,,,2936,Introduction to KNIME | Transformasi Data di KNIME | Manipulasi Data di KNIME | Visualisasi Data di KNIME | Studi Kasus: Analisis Keuangan di KNIME,
