slug,url,title,category,date_published,read_time,author,description,content
basic-excel-formulas-for-everyone,https://app.datacamp.com/learn/tutorials/basic-excel-formulas-for-everyone,The 15 Basic Excel Formulas Everyone Needs to Know,,December 2025,15 min,Abid Ali Awan,,"Last chance! 50% off DataCamp Premium
Sale ends in"
unprotect-excel-sheet,https://app.datacamp.com/learn/tutorials/unprotect-excel-sheet,Unprotect Excel Sheet: Methods to Unlock and Edit Your Data,,February 2026,8 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
claude-cowork-tutorial,https://app.datacamp.com/learn/tutorials/claude-cowork-tutorial,Claude Cowork Tutorial: How to Use Anthropic's AI Desktop Agent,,January 2026,11 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
notebooklm,https://app.datacamp.com/learn/tutorials/notebooklm,Notebook LM: A Guide With Practical Examples,,February 2026,8 min,Amberle McKee,,"Last chance! 50% off DataCamp Premium
Sale ends in"
claude-code,https://app.datacamp.com/learn/tutorials/claude-code,Claude Code: A Guide With Practical Examples,,January 2026,12 min,Aashi Dutt,,"Last chance! 50% off DataCamp Premium
Sale ends in"
guide-to-autoresearch,https://app.datacamp.com/learn/tutorials/guide-to-autoresearch,A Guide to Andrej Karpathy’s AutoResearch: Automating ML with AI Agents,,March 2026,11 min,Bex Tuychiev,,"Last chance! 50% off DataCamp Premium
Sale ends in"
how-transformers-work,https://app.datacamp.com/learn/tutorials/how-transformers-work,How Transformers Work: A Detailed Exploration of Transformer Architecture,,February 2026,15 min,Josep Ferrer,,"Last chance! 50% off DataCamp Premium
Sale ends in"
tutorial-power-bi-for-beginners,https://app.datacamp.com/learn/tutorials/tutorial-power-bi-for-beginners,Power BI Tutorial for Beginners: A Step-by-Step Guide,,February 2026,13 min,DataCamp Team,,"Last chance! 50% off DataCamp Premium
Sale ends in"
compare-two-columns-in-excel,https://app.datacamp.com/learn/tutorials/compare-two-columns-in-excel,How to Compare Two Columns in Excel: A Step-by-Step Guide,,February 2026,9 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
how-to-remove-spaces-in-excel,https://app.datacamp.com/learn/tutorials/how-to-remove-spaces-in-excel,"How to Remove Spaces in Excel: TRIM(), SUBSTITUTE() and More",,March 2026,6 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
age-formula-in-excel,https://app.datacamp.com/learn/tutorials/age-formula-in-excel,Age Formula in Excel: Easy Methods for Age Calculation,,May 2025,7 min,Vinod Chugani,,"Last chance! 50% off DataCamp Premium
Sale ends in"
normalization-in-sql,https://app.datacamp.com/learn/tutorials/normalization-in-sql,Normalization in SQL: A Complete Guide to 1NF Through 5NF,,April 2026,9 min,Samuel Shaibu,,"Last chance! 50% off DataCamp Premium
Sale ends in"
days-between-dates-in-excel,https://app.datacamp.com/learn/tutorials/days-between-dates-in-excel,How to Calculate Days Between Dates in Excel: The 5 Best Ways,,February 2025,5 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
vlookup-from-another-sheet-Excel,https://app.datacamp.com/learn/tutorials/vlookup-from-another-sheet-Excel,VLOOKUP() from Another Sheet: A How-to in Excel,,November 2024,5 min,Laiba Siddiqui,,"Last chance! 50% off DataCamp Premium
Sale ends in"
fine-tuning-large-language-models,https://app.datacamp.com/learn/tutorials/fine-tuning-large-language-models,Fine-Tuning LLMs: A Guide With Examples,,December 2024,11 min,Josep Ferrer,,"Last chance! 50% off DataCamp Premium
Sale ends in"
